CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
213371.7272,209288.7183,207018.7548,206951.2332,209687.095,213340.9496,214509.3524,212593.8497,81.6330648,163.4690266,168.978619,0.258148753,0.014646447,0.050984733,58:49.8
213540.7355,209367.6461,206984.22,206877.5752,209689.9936,212985.0006,214670.7447,212610.7017,79.1176064,156.5109549,178.3814648,0.740005918,0.024790952,0.115638864,58:50.0
213675.888,206274.3684,207657.8106,207751.0578,210289.0547,213046.8066,214749.3584,212422.8356,68.6431424,76.11309552,226.5268869,0.280179459,0.07391485,0.040895891,58:50.2
214372.4175,192669.3947,211408.9421,211198.5302,212467.1078,214917.0642,215567.2102,213798.0277,59.26703216,87.34189184,226.5466638,0.098091546,0.04486219,0.042986218,58:50.4
214421.0346,193141.5358,209892.4719,210470.793,212643.1933,215087.6074,215656.6767,214210.0924,54.43571616,86.1903112,233.4751922,0.151405374,0.049346553,0.063708821,58:50.6
210757.1652,191028.8447,207620.0459,212800.1819,214339.9896,215414.9766,214816.7083,213817.211,52.15098896,76.28303088,233.0499875,0.11573652,0.035785553,0.064054035,58:50.8
204968.5875,190234.0924,210818.2349,214416.987,214907.0481,213114.1105,205355.9012,210241.8741,47.69592352,68.71773328,242.5094784,0.206999958,0.029630295,0.123523121,58:51.0
199379.0209,197350.4936,210732.8164,211892.1499,212995.3576,210901.8204,200399.1929,206583.6489,55.18345616,62.89268608,231.4091102,0.574340327,0.1401847,0.189178715,58:51.2
199381.134,203031.0693,211369.2815,211494.9814,212854.6527,211397.3012,200581.4385,206554.0694,69.39552144,143.0831315,195.5503077,0.35628815,0.152125099,0.099763905,58:51.4
199688.9242,205166.8109,211874.1022,211714.7029,213069.7016,211716.7846,201076.2267,206757.1609,74.64361856,157.6101632,182.6565843,0.071960753,0.095868895,0.042551649,58:51.6
200074.3732,206918.5545,212100.9994,211887.3871,213193.6991,211783.1823,201539.3523,206645.9088,74.95016144,131.3119338,190.7142306,0.408953543,0.078405073,0.118543642,58:51.8
199502.7742,208125.4719,212030.958,211902.4707,213138.4979,211596.0436,201588.9786,206172.3023,67.96584256,136.7884426,204.0634344,0.123295583,0.013178677,0.027731863,58:52.0
199149.708,208975.0337,211852.7328,211693.9126,212972.7632,211495.3403,201606.7882,205690.0284,65.2084216,147.0197232,195.2498688,0.052326526,0.027783132,0.016518512,58:52.2
199041.5473,209620.8177,211638.5569,211476.0782,212797.901,211470.0901,201662.8784,205261.837,59.23761088,146.4614514,194.5676858,0.016412067,0.040044819,0.018781202,58:52.4
198962.3205,210057.5975,211520.9801,211373.0954,212655.3653,211425.3009,201749.4682,204883.4121,57.42045008,145.5291264,198.4372555,0.046941774,0.023191835,0.009841772,58:52.6
198929.413,210373.6615,211424.9659,211291.0265,212586.5503,211439.4672,201867.1086,204516.8422,56.42793968,151.3688232,193.805052,0.129448887,0.022660098,0.032100992,58:52.8
199043.7942,210603.4681,211349.6898,211227.4643,212526.4593,211548.5826,202197.722,204454.0852,58.2065232,157.8059795,190.6169328,0.485890846,0.079685831,0.076424121,58:53.0
201237.9459,212248.5214,212536.0829,204047.6943,214254.2426,213733.1666,204330.6911,206485.9189,61.84963456,93.21882304,219.6507309,0.592444772,0.056495461,0.062576012,58:53.2
206056.5572,218049.5073,207304.7461,185315.7439,221352.5056,219401.235,208901.9339,210980.6507,63.0659176,47.45078688,238.0780965,0.382937985,0.033711828,0.044302133,58:53.4
209668.037,222571.7843,189465.8333,191637.9011,220668.498,223834.4551,213915.0492,215429.3653,53.7591488,13.2444592,246.8952024,0.172211473,0.025043881,0.032961341,58:53.6
209491.0514,220477.3731,190338.0878,202162.4778,217675.6629,219365.5648,215376.5067,217779.6259,52.180044,29.12779968,239.2406643,0.807075082,0.062526695,0.01855757,58:53.8
208966.8646,216965.9627,196869.6002,205880.7374,215400.0315,215959.976,214600.6698,217706.1324,66.5653408,116.4991128,216.6707581,0.410662523,0.036839261,0.024603453,58:54.0
209010.029,215135.3164,201009.2537,206185.3389,213330.9252,214906.8255,213903.1916,217456.8265,63.2813888,112.2849112,215.9164258,0.02134516,0.008811501,0.014195764,58:54.2
209142.833,213948.0638,203482.7473,206386.7133,212201.3904,214219.6907,213426.4576,217293.324,61.55200352,109.1478214,219.0179902,0.011146456,0.009580542,0.014933556,58:54.4
209227.7814,213087.3459,205046.9254,206637.2993,211572.0459,213714.4829,213098.7087,217158.2998,62.23540736,109.885673,216.8564418,0.007173321,0.004741199,0.003347159,58:54.6
209321.0665,212439.5676,206122.8336,206835.2511,211161.7395,213320.5963,212830.4134,217024.4596,62.1436032,110.9664472,217.436688,0.007104474,0.006101059,0.006064438,58:54.8
209406.4853,211999.6346,206681.621,206909.837,210963.1105,213038.8643,212717.3545,216963.3195,60.9295176,109.432512,222.5951784,0.230368063,0.066579419,0.058522799,58:55.0
209503.0594,211608.5843,206509.0396,206941.817,211034.2247,213071.4692,212877.9612,217070.8135,66.8345272,87.4080592,224.297584,0.199320779,0.09946996,0.064599444,58:55.2
209680.88,211061.9873,207341.8195,207092.2614,210856.5922,213058.8378,213104.7675,217147.5313,72.04087296,82.4577152,221.0176606,0.149986921,0.017712357,0.037822169,58:55.4
209844.9866,210880.9666,208079.4105,207272.4235,210778.0774,212930.4045,213268.1662,217165.1798,72.88993936,104.6193859,218.9835637,0.124975266,0.011944305,0.024437437,58:55.7
210127.0389,210745.6473,208288.1893,207185.776,210532.8037,212883.9478,213240.3073,217068.3319,72.63112976,104.7498894,217.4714808,0.030714277,0.008595193,0.017691849,58:55.9
210322.0447,210636.6625,208385.2455,207190.7229,210411.8648,212778.0268,213195.7419,216973.8599,71.93478544,108.0915853,216.0903898,0.006449691,0.008555642,0.004041494,58:56.1
210522.9162,210553.3218,208440.8331,207178.5392,210312.3845,212669.0783,213135.9718,216859.2188,71.6554664,107.7910243,216.2802242,0.004125966,0.002810051,0.005373521,58:56.3
210726.5997,210479.32,208470.9917,207169.3127,210224.6408,212571.4154,213071.4486,216739.0684,70.2808456,107.3345672,216.8653536,0.003701162,0.002312006,0.007521953,58:56.5
210901.6683,210417.4726,208493.0757,207176.3567,210156.411,212479.1882,213013.8943,216623.1558,70.2735208,107.2753584,216.7023768,0.003791494,0.005605454,0.007912577,58:56.7
211078.6961,210367.0711,208508.3151,207177.5404,210094.6526,212398.5375,212958.7392,216508.1452,69.83073664,107.2586334,217.2986155,0.006036117,0.004342274,0.005199205,58:56.9
211233.4469,210320.0487,208514.043,207177.499,210040.0425,212327.8656,212908.0288,216396.9128,68.5698944,107.1376522,216.3139182,0.009286597,0.00652928,0.005791977,58:57.1
211376.3121,210287.2635,208525.0031,207182.9471,210001.4563,212269.5661,212871.7328,216300.9218,66.86053024,108.1664203,218.0010638,0.007363262,0.006314437,0.005509263,58:57.3
211529.4048,210196.1271,208484.2096,207106.8314,209964.4655,212122.7992,212809.3556,216145.2846,66.88909696,117.0815565,215.4965926,0.29377708,0.066381666,0.034529697,58:57.5
212046.5922,209989.7813,208267.6009,206848.3539,209917.2051,211896.1111,212712.9492,215677.6054,60.6884096,42.633388,230.7794216,0.629373389,0.072213194,0.06311019,58:57.7
211983.2305,209970.0876,208424.1725,207098.6411,209911.885,211949.3026,212730.379,215341.1235,50.9842704,10.77246128,252.7826325,0.036791898,0.063965657,0.039136619,58:57.9
211897.3309,209985.5965,208411.4536,207111.9089,209838.3333,211902.9329,212703.3875,215291.22,46.7133016,14.47697888,248.6880693,0.016522419,0.016753863,0.010995089,58:58.1
211875.8752,209992.5888,208410.528,207123.0006,209797.3567,211899.2277,212706.7025,215312.9082,48.423032,13.3885136,248.3803056,0.01626949,0.005705552,0.005075671,58:58.3
211786.2046,210035.3497,208491.134,207282.4797,209810.8398,211943.0363,212751.4859,215446.8601,48.20841536,13.51865088,248.7528938,0.432490104,0.02856145,0.014496545,58:58.5
211519.942,209622.4365,208949.4366,207714.0241,210026.8778,212384.3198,212917.9908,215615.7158,50.09870208,96.14740016,209.8773723,1.101506946,0.141438603,0.096404538,58:58.7
210822.5642,208575.4048,209122.6879,207826.2391,210060.3943,213183.3623,212786.3091,214597.8697,37.19643312,185.239675,174.4604994,0.274083283,0.06416634,0.093792729,58:58.9
210397.5723,209459.4539,208831.6825,207487.1408,209894.0854,212934.4555,212736.5219,214200.8916,30.7971216,188.6056648,169.1638144,0.017646439,0.021298774,0.028735278,58:59.1
210350.3171,209814.7447,208664.1264,207343.8452,209797.1595,212682.251,212738.6712,214116.9475,28.55036128,183.6332243,166.7764179,0.01808052,0.005772446,0.015477011,58:59.3
