CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
94215.50098,107646.452,114512.071,111214.2012,123402.7241,106241.5248,57725.54957,68396.96604,1.3837768,14.34464416,247.0064173,0.005501939,0.004281239,0.005263658
94130.76596,107606.2862,114500.043,111187.8518,123358.3511,106086.6559,57693.46673,68386.65218,1.31858608,14.32437888,247.157064,0.004940417,0.004003896,0.005431627
94046.64193,107500.1871,114397.0973,111072.7756,123259.6687,106009.459,57689.28485,68383.83985,1.31101712,14.21206528,247.0951694,0.005585435,0.003667959,0.005639146
93959.9211,107428.5601,114347.164,111007.0708,123180.3189,105947.68,57692.89529,68393.46716,1.27341648,14.42643776,246.9977496,0.004776843,0.003824209,0.006127426
93899.84813,107354.7986,114275.4539,110925.7826,123117.9078,105960.0894,57707.8105,68410.05478,1.34556576,14.27530272,247.0188694,0.005871079,0.003981435,0.005573228
93845.68035,107293.9002,114227.4781,110865.0348,123038.3219,105867.4363,57736.99573,68453.97465,1.3025936,14.29898624,247.1487626,0.00619432,0.003905263,0.006221664
93766.9099,107187.0011,114122.2084,110755.5645,122952.8472,105823.2662,57756.93395,68475.48093,1.25998768,14.23562672,246.9867624,0.00643553,0.003524893,0.005665025
93691.43541,107112.7537,114067.4995,110683.8496,122864.8706,105684.4097,57771.71016,68503.54043,1.31272624,13.98560688,247.0458491,0.006011703,0.004093251,0.005811509
93654.38998,107073.9617,114034.9806,110642.4555,122842.0143,105620.7849,57794.43082,68533.04612,1.19540736,13.84045376,247.1151906,0.006022446,0.003954091,0.005923813
93603.91979,107009.4214,113983.8329,110578.0877,122767.7619,105523.5992,57839.88402,68578.22085,1.2354496,13.97523008,246.9677179,0.004679676,0.003754873,0.005163073
93492.49883,106838.1971,113804.3467,110395.8415,122613.1649,105431.2574,57885.60889,68594.85773,1.19711648,14.0526288,247.0523194,0.003990712,0.003612295,0.005271471
93402.86145,106766.5448,113759.3492,110333.5036,122531.1748,105297.5249,57904.78916,68591.77855,1.13021664,14.051408,247.1031046,0.004493641,0.004347645,0.00536815
93326.10905,106661.1653,113643.6537,110216.4543,122434.9098,105240.6209,57920.49508,68620.89004,1.17831616,14.2522296,247.0005574,0.0056494,0.003792959,0.005596177
93214.1814,106529.0189,113529.7775,110088.495,122297.0358,105095.6775,57942.09023,68638.83038,1.17978112,14.30203824,246.9812688,0.005294908,0.003878896,0.005550279
93075.39589,106315.6271,113297.0801,109851.6257,122085.7882,104972.002,57987.03419,68626.99567,1.13973888,14.23904496,247.0499998,0.005303209,0.003651846,0.005712388
92887.21011,106120.7242,113120.7238,109666.3591,121879.9562,104741.9248,57988.28301,68575.22535,1.08260544,14.2595544,247.0619637,0.005982895,0.003703604,0.00529735
92777.48711,106020.9001,113030.4992,109572.725,121801.204,104620.8267,57989.27542,68553.42778,1.16439904,14.25235168,247.0207006,0.005800766,0.003517081,0.005884262
92642.92115,105863.3162,112873.907,109409.1737,121623.2988,104454.0519,58000.2697,68524.1091,1.20566208,14.02870112,247.1442456,0.00470409,0.003578604,0.005959457
92485.21321,105691.5231,112702.5669,109237.7262,121465.0287,104367.5894,57984.49329,68489.05086,1.001056,14.1740984,247.1697603,0.004396961,0.003997548,0.005437486
92407.99912,105631.54,112663.7699,109188.639,121391.7763,104218.7201,57977.89947,68482.78537,1.22665984,14.28738864,246.9885936,0.008047343,0.00355419,0.007086896
92282.21053,105461.422,112487.5966,109012.7065,121241.7286,104146.7154,57991.912,68467.46017,1.06746752,13.9775496,247.1103074,0.004048818,0.003871084,0.004822742
92139.92786,105303.329,112338.1173,108856.3009,121074.4927,103976.2041,57978.47098,68434.40237,1.03841248,14.09083984,247.0583013,0.00677635,0.00381542,0.006591292
92019.95006,105158.3119,112193.8417,108705.1076,120944.5267,103811.5202,57944.74552,68403.95697,1.07296112,13.93872816,247.0996864,0.005397935,0.004117177,0.004844714
91887.81128,105036.6341,112091.5278,108592.5663,120820.8221,103668.1272,57919.0419,68353.99072,0.9687048,13.91968368,247.0855251,0.004711414,0.003737295,0.004835925
91841.81016,105017.8141,112087.8094,108581.1886,120822.4921,103580.8686,57907.64307,68342.12391,1.08394832,14.00330848,247.1468093,0.004330555,0.003847158,0.005225573
91792.28382,104960.0577,112041.9265,108524.743,120764.9435,103496.5186,57909.17385,68339.67421,0.97505296,14.01063328,247.0384022,0.005854965,0.003539542,0.006045883
91760.94337,104933.6158,112035.6918,108507.2673,120753.7713,103469.0408,57900.85318,68342.52766,0.90119456,14.2418528,247.0458491,0.00492821,0.00369335,0.005644517
91708.06572,104850.0789,111954.5023,108417.5437,120670.0286,103381.9138,57918.11107,68351.5755,0.99348704,14.09071776,247.2047973,0.005733872,0.003847646,0.005743149
91625.47681,104756.7851,111872.5474,108326.8342,120580.3466,103312.9076,57937.60789,68354.82677,0.8460144,14.16176832,247.0955357,0.005311022,0.003723135,0.005692368
91554.49342,104666.273,111785.8494,108233.3208,120496.1592,103303.0777,57959.44936,68373.76745,0.89533472,14.3163216,247.0808861,0.005095202,0.00395458,0.00577147
