CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
3018.345165402557,10732.223889842038,10846.65058024118,15737.572340949597,17082.461040419366,5644.646696288692,6824.8068135884905,1145.9076153815815,22.313172,169.40309119999998,167.9495253333333,0.09079729360000001,0.26840670219999996,0.1004318718,39:24.728580,0
2993.3843859351414,10724.499498612768,10853.987678484187,15736.22168599292,17045.34443540438,5553.0597531959265,6841.905717968327,1171.837276150699,5.4087544,168.8097824,176.89717546666668,0.032875892399999995,0.147602975,0.06652733620000002,39:24.882160,0
3019.0798718682563,10744.432018686975,10860.110185646425,15748.087285782189,17071.688102276246,5584.634068124815,6837.971393095301,1176.8141453939527,5.281587733333334,182.50512373333336,177.23594746666663,0.06529687060000001,0.07491924180000002,0.053327500199999996,39:25.030320,0
3107.4187432970707,10808.434071910426,10891.564142251651,15789.654547653781,17142.347803033103,5721.48385357766,6833.907288484812,1189.021136426087,30.592841066666672,174.18577866666666,169.91928613333332,0.07352764379999999,0.0711497202,0.0794911702,39:25.176428,0
3148.3246800121246,10850.847526421338,10924.761289988324,15830.101487640757,17202.047847712445,5825.9158208289,6841.26676360301,1203.1960094292565,52.059184800000004,178.23191679999996,164.13554266666662,0.08772438480000001,0.0374299172,0.0791192636,39:25.328686,0
3137.3283694387887,10853.443166275803,10925.415617444325,15834.082531959259,17209.09048647111,5851.712091924763,6840.996568205908,1205.7749126862286,54.60292506666666,184.02705439999997,158.23297466666668,0.0463573032,0.04004384279999999,0.059260916,39:25.478300,0
3100.5976216075546,10840.313145206224,10922.406822334944,15828.029853442174,17193.643950091242,5824.074137531912,6844.387344849339,1206.4514215476545,53.14366213333332,190.55914826666663,149.29407360000002,0.04188140319999999,0.0604661538,0.020479276999999994,39:25.630350,0
3103.8074686024615,10836.536297027547,10918.01324321676,15828.671105251955,17196.662030617754,5849.723290289494,6841.043779585217,1205.1387273582234,35.33096933333332,198.83169600000002,145.33827466666668,0.051809763200000004,0.0619082074,0.0080671994,39:25.778988,0
3133.36215608214,10861.064146787718,10933.689204364033,15850.832863517026,17234.177030399573,5925.095255844831,6837.852037876954,1205.6492430112926,34.375082933333324,202.20354559999998,142.78558186666663,0.022543073799999997,0.03548330760000001,0.04928616940000001,39:25.930324,0
3150.5205053800732,10885.986609174215,10946.542226087706,15865.754129928726,17261.09313778278,5985.400670013752,6835.375451108084,1203.4663146216512,41.363756,194.73102880000005,148.1591365333333,0.0276993106,0.015512655599999998,0.06290267100000001,39:26.077861,0
3113.9652173637814,10878.429155069478,10950.628595830147,15867.026162456705,17256.60083515008,5962.408479318538,6842.213760123302,1208.4188032462391,42.223809599999996,198.71165066666669,144.0460578666667,0.036048898600000004,0.026476169199999997,0.08208556460000001,39:26.230029,0
3117.8201392612714,10861.732560040435,10932.211111500621,15851.088455739027,17245.884000275746,5971.086136477759,6826.381919276439,1202.7812981645598,43.41775200000001,193.33484053333333,139.78180346666664,0.020060983800000005,0.0524201132,0.04233143460000001,39:26.378245,0
3208.7135789509484,10923.484715620247,10957.042328307756,15873.783992101231,17279.60807145916,6059.311276984574,6822.507583965505,1202.949565769617,63.177824266666676,185.57299413333334,143.59517573333332,0.040694069000000006,0.11951710940000006,0.06115869759999999,39:26.535659,0
3225.4483818593067,10934.96195971051,10979.391121720233,15903.0827515077,17310.096640233427,6134.18795922651,6838.646590413204,1223.34574951502,67.28785093333335,194.8653168,145.79505733333335,0.033763748200000006,0.09630102300000001,0.03414542040000001,39:26.680260,0
3180.199571348429,10900.490731689748,10969.666550566228,15886.762171581075,17270.1506471192,6067.239046422905,6844.113084558324,1228.1148184388694,65.95412693333334,188.7491088,150.8872176,0.02724846540000001,0.05423244580000001,0.011881479999999996,39:26.831014,0
3097.1856006556272,10848.497109982209,10945.081067405159,15861.927263169782,17236.304501030856,6008.306624897449,6833.846716378619,1221.9232954083743,68.95037706666665,190.19616373333335,152.45309706666666,0.0275414334,0.014935671399999996,0.05852686840000001,39:26.979216,0
3054.975386076076,10813.6701829243,10923.193462879359,15833.143154494575,17197.972214819885,5925.974154895748,6822.921743501616,1216.6653941516872,68.45656346666664,181.76450506666663,147.64741786666667,0.015244101600000004,0.008082661599999997,0.050243198199999985,39:27.133742,0
3060.393948722875,10812.821074910735,10920.619660712722,15830.42577773717,17194.161302267923,5932.6222916468,6818.71342238017,1222.6024552345136,73.30558106666665,191.34046026666667,148.88408826666665,0.038844301600000006,0.008196593599999998,0.04588774059999999,39:27.281087,0
3078.84721901601,10818.474819461158,10917.94027676345,15823.991138970361,17183.6220536795,5922.430272079986,6811.696129509547,1223.179447211372,68.3239032,185.13716853333335,142.99881493333334,0.04550281319999999,0.09632543699999999,0.052005075200000014,39:27.440954,0
3190.5931286309037,10857.344902878012,10935.16764175005,15845.360333338855,17219.915620035972,6031.38606171239,6799.42187633134,1215.882440635689,69.72945093333334,183.04390346666665,150.74519786666664,0.07030255440000002,0.044331755,0.011510387200000001,39:27.580018,0
3083.731097018911,10839.38531641324,10943.413820269006,15854.34182005832,17220.489605517436,5987.358345014566,6808.737316330706,1219.1689754784195,65.7437424,191.88310586666665,153.65761973333335,0.0177058466,0.0355109768,0.060930833600000005,39:27.732266,0
3031.217163640138,10827.203493122515,10936.277097189432,15848.761229263031,17216.29792117994,5957.203046566282,6808.638398292646,1214.4492376529925,72.8256032,186.45624293333333,143.34063893333334,0.0099194082,0.0276578068,0.0670099196,39:27.880584,0
3101.7057265521903,10845.988247733805,10932.388813427868,15842.84593218504,17211.632718432847,5981.677335449253,6795.497927438789,1213.910359255251,73.44251413333335,191.8177930666667,136.6225765333333,0.008030578399999998,0.023632751999999996,0.018251906399999993,39:28.032762,0
3180.549985613495,10873.104229883662,10945.288326314432,15858.519593592908,17234.05000379065,6053.260198772487,6787.028450292919,1218.138086895077,78.70294133333333,187.6483541333333,140.97065919999997,0.03878733560000001,0.04184234080000001,0.016663368800000005,39:28.180932,0
3221.0157502224697,10943.996613755255,10983.28571128543,15904.203934994443,17295.69737798567,6156.76510590278,6789.524160273597,1219.5334698168274,75.83039893333334,191.0313944,140.44164586666665,0.0702602368,0.0644228494,0.014169071799999997,39:28.335553,0
3226.3840421857567,11005.378826178448,11011.076475686865,15943.885474881763,17352.90723097541,6253.48685250574,6787.1158119838565,1220.518550504502,73.46245386666665,192.76940666666667,140.81480373333332,0.0175178588,0.02921623379999999,0.0077270310000000005,39:28.481385,0
