CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
19528.279832970537,8979.338855216338,2474.1296878917838,11447.498990804434,7060.472830905296,12388.178382414631,14726.76324171746,9713.089848555725,123.20517066666665,163.47142746666665,146.325088,0.0091902434,0.013472459,0.0040543516,48:29.604417,4
19533.173024551365,8996.845567565046,2458.079530375805,11432.498160370107,7051.430380735357,12383.640438751074,14733.137672858977,9717.102995835092,124.24285066666666,162.98595600000002,143.67025493333335,0.0063338054,0.0071443501999999,0.0039046124,48:29.747571,4
19581.737113299638,9007.433014893862,2445.097076310148,11412.803937168625,7017.375582159042,12458.508902611427,14722.888527817522,9678.186810956133,124.79200720000004,164.8295674666667,140.65671013333332,0.0298802946,0.0387678044,0.0173371951999999,48:29.892109,4
19699.102217485462,9049.166942722824,2401.8757434409977,11329.875174870132,6895.676866531829,12644.431571765796,14718.1210642262,9639.560412616807,120.10169360000002,162.9011104,149.1461533333333,0.0248168309999999,0.0545734279999999,0.0369155956,48:30.040677,4
19633.17443845147,9075.523806808736,2359.2988896702223,11242.664602940677,6813.320014322185,12665.847867524086,14736.873405924567,9560.307242715637,118.69940133333334,160.42227599999995,156.44633386666666,0.0503034193999999,0.0234537159999999,0.0494562536,48:30.193421,4
19703.74751520194,9162.11588713401,2265.655242701136,11146.24538009055,6725.463259143568,12716.00480111522,14785.66249388149,9654.775690892968,123.63794426666664,161.13766479999998,145.0599322666667,0.0926812406,0.0464077588,0.0576805163999999,48:30.342990,4
19790.258310007583,9282.58362075891,2140.381428051428,11018.846447932085,6599.2059417230585,12842.409904592292,14853.619806949731,10009.464306830572,122.513384,164.39984586666662,144.44688720000002,0.0564443542,0.026656019,0.0404141218,48:30.492835,4
19790.039542068094,9356.374109382044,2064.942255439309,10942.994568336384,6540.419327398032,12873.526864426518,14931.49398050013,10239.899163515136,122.6928416,164.37705760000003,144.74923866666666,0.0143220662,0.013122525,0.0055004742,48:30.640888,4
19786.189730518952,9414.470939258998,1997.1408897563413,10880.21338210704,6493.244168270686,12894.699412827636,14953.929590891285,10340.338084137587,124.16817840000004,165.4918514666667,141.03495466666664,0.0316112472,0.0103092184,0.0093294032,48:30.793174,4
19791.247443575467,9442.373123958952,1966.203849943301,10855.201689152918,6473.8850090056585,12907.406148925334,14956.5403424626,10480.327842369285,124.22759066666669,166.42820506666664,140.58447946666666,0.0142496379999999,0.0028141204,0.0056738136,48:30.941379,4
19783.61690503832,9457.866496021745,1949.4403394965827,10845.131761227018,6466.730912221835,12905.711386425211,14946.945870833106,10559.167846652745,123.80600773333336,166.46869493333335,140.9830706666666,0.014884402,0.0051928577999999,0.0035896718,48:31.096812,4
19773.802239234003,9468.398269664483,1934.7992395602316,10835.745601968143,6464.912828255699,12896.428515618432,14943.921508702962,10614.381905728558,123.79217200000004,164.98582986666665,142.09684719999996,0.0139989876,0.0059822438,0.0023738546,48:31.241704,4
19749.60076016762,9492.601828038469,1901.8935465858888,10807.700441403063,6446.315401651854,12900.546521496832,14952.018851571176,10623.490764707549,123.54496000000002,164.60453333333334,141.69439013333334,0.0201269015999999,0.0082608837999999,0.0184472184,48:31.397546,4
19746.71051574716,9513.009032804352,1879.887604469676,10789.970035820008,6435.388876421773,12899.559759506872,14956.162513967392,10618.093160353976,122.3375888,168.19734773333334,141.8185048,0.011214164,0.006115707,0.0090380628,48:31.542026,4
19747.46193636396,9487.638883963647,1910.7770968167715,10829.52974867691,6471.4797903048375,12871.918367951535,14927.014770221058,10517.941920421528,122.60351973333331,167.35886159999998,141.67831626666666,0.018400018,0.0096874752,0.0280931898,48:31.700142,4
19604.09230615577,9446.222787054545,1955.7018926093049,10885.559169782147,6553.303997277484,12761.504467257906,14857.125492724774,9920.936636054948,122.80128933333329,165.90936506666665,144.02225226666664,0.1389303083999999,0.0801983624,0.0434788925999999,48:31.843755,4
19460.78728407741,9304.30350296532,2091.698819576632,11067.785301805568,6751.085138187664,12547.502127273196,14707.948260845971,9437.36384944904,126.65128560000002,158.54265093333336,150.95659973333335,0.1230620221999999,0.089245377,0.021826116,48:31.994572,4
19435.798721943567,9254.8689854142,2128.20566421499,11146.290110469125,6827.715233685435,12524.082451607488,14616.387987867129,9365.382070334135,132.77725999999998,151.4095165333333,142.94204773333337,0.0890451822,0.041719457,0.0212190212,48:32.144229,4
19444.82840344685,9245.66606334118,2126.563343483982,11151.633933452462,6808.126796318431,12588.44418684622,14590.948453353916,9302.357011678054,126.09785626666668,156.18406533333334,153.21569013333337,0.0491323612,0.0283763922,0.0099657948,48:32.295636,4
19386.99831076491,9221.25902161396,2141.093539367479,11167.543210391595,6828.321962139376,12548.780480061158,14593.235666775408,9285.989113190946,125.46995813333336,152.8911608,154.39376213333335,0.0118293968,0.0187816902,0.0075732227999999,48:32.443058,4
19375.83657131821,9209.505012817102,2153.08032638898,11184.40912850263,6846.314109144283,12517.936578127576,14571.49515318326,9277.486799326289,127.17236373333331,155.10508159999998,148.71154853333334,0.0069181138,0.0067415191999999,0.00545246,48:32.595287,4
19410.07886854172,9223.934541057346,2138.547735020128,11166.758842056452,6819.2685585194,12561.82426041821,14580.678164551118,9282.719342338294,126.32309386666668,155.79768213333335,151.5527570666667,0.0045939009999999,0.0084358508,0.0072216611999999,48:32.743662,4
