CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
16252.008343979653,8647.033076715197,1002.9291227253367,9213.439165015665,4543.37843608359,12635.249822887823,17891.86111053013,6237.250075230379,52.41932080000001,169.05699439999995,177.6898816,0.007065411600000001,0.0066992015999999995,0.0047411988000000006,34:01.031267,5
16254.276020145036,8644.061068645793,1003.3437237282186,9219.24899957599,4548.324878816087,12632.87995466195,17896.441852856802,6239.521449230504,52.69033839999997,168.74813200000006,177.18202880000007,0.009545874,0.0040576068,0.006074203199999997,34:01.280886,5
16229.099391745925,8611.373540845498,1043.7614404048365,9263.886897186798,4587.99990390153,12604.85393792132,17897.783854607194,6228.784930415544,50.92933440000001,166.40541679999998,181.51953119999993,0.4977135696000001,0.028798754400000008,0.026171807999999994,34:01.532562,5
16150.636343539176,8581.68829038145,1100.5974390469225,9315.883323189571,4647.3903665361095,12588.605910061646,17853.10202903752,6212.939260762474,48.531683199999996,82.9271128,229.02574239999996,0.5302525487999998,0.010312473600000002,0.007377910799999999,34:01.781116,5
16077.131110897742,8566.947333549868,1108.2983869900143,9316.957932820746,4651.661718949031,12581.446719360098,17668.23120737447,6177.543026467413,44.893088800000015,37.39005199999999,248.78072799999995,0.10655002019999998,0.03404288159999999,0.0251976894,34:02.039324,5
16067.657195020747,8552.222088290246,1116.1816682859849,9327.28442408668,4661.023363696769,12557.536527003678,17634.29862023549,6186.836111205356,42.82505359999998,36.663675999999995,248.701376,0.014577599400000005,0.01733394000000001,0.009035621400000004,34:02.282462,5
16064.183841853976,8538.716367819134,1124.201915453531,9332.359696114068,4665.471235087962,12542.006530108143,17610.8226505933,6190.591613047607,40.453649599999984,36.9469016,247.46958879999994,0.009130835999999996,0.0159691974,0.006970196999999997,34:02.535008,5
16055.9544703476,8520.506080281295,1137.4306287171837,9345.965702701866,4677.893429010906,12519.842475639023,17586.06881192765,6186.580843315846,38.550422399999995,36.2656952,248.8637423999999,0.010605441600000003,0.0075951954,0.004421375400000003,34:02.783740,5
16044.282009429822,8501.603610150405,1149.3480407299087,9358.015745425191,4689.144505706497,12491.905805091108,17555.783190748472,6177.687631038987,38.38805600000002,37.781318399999996,248.7172464,0.04075429019999999,0.006320784600000001,0.002761223399999998,34:03.037158,5
16042.68767644466,8493.449687583641,1150.856283509861,9363.273192756744,4694.1086194190075,12470.17534972974,17550.088318472684,6178.287368397607,38.95939039999999,46.046134400000014,246.1108384,0.25653010500000006,0.014919395399999999,0.015363730199999998,34:03.286461,5
16039.979704978863,8499.216962537632,1143.9153034930227,9370.032420091919,4701.135529111273,12458.087522621814,17591.9074358809,6195.751306789756,39.343332000000004,98.1272936,230.23555519999996,0.35223298500000005,0.037375392599999994,0.04043446680000002,34:03.539518,5
16053.181397192337,8503.546796398647,1124.0998772233766,9358.24177936641,4697.476107532353,12468.836532687583,17609.032581559837,6179.1943276209995,48.86923440000001,127.77564240000001,209.12059839999992,0.2967106662000001,0.0246068706,0.04708972320000002,34:03.790167,5
16055.656406748398,8521.008230248399,1096.9888081555175,9332.38371488959,4680.749917524467,12492.022113151872,17617.107369547844,6136.92863314452,53.19452879999999,160.70244960000005,183.27137919999996,0.21698674920000002,0.023496033600000008,0.0049780145999999996,34:04.041220,5
16093.614556720238,8545.71747528595,1063.5068369178941,9295.834600896771,4637.562115229761,12533.528486552674,17614.451661229432,6142.501629378209,52.586570400000014,180.10950719999997,167.82581760000002,0.10115208480000001,0.026464776,0.006481916999999999,34:04.291237,5
16115.821705609325,8548.390461670304,1055.0239958761204,9286.79608599712,4624.132047902271,12543.03649646917,17626.190457841607,6158.68601786045,51.84859680000002,178.79287439999996,166.8467359999999,0.017492630999999995,0.0046630740000000006,0.013278774599999994,34:04.542378,5
