CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
16730.063205627604,6786.129731483108,1444.8307728568684,10037.826193164028,5470.169637083983,11702.720127864593,13427.164536766953,11191.425700401074,96.29304159999998,181.27537119999994,143.10351888000002,0.010755343559999997,0.0023925720000000004,0.00998434944,55:21.718006,1
16717.369599804093,6747.992774623276,1482.802724407608,10111.587987827364,5488.545768259146,11737.194174260321,13463.18253186226,10964.976396660864,98.82937568,176.77281663999995,145.63203983999998,0.058470065160000015,0.03665713272,0.030038009039999997,55:21.966354,1
16775.071808359364,6885.65821858909,1272.836998666142,10008.456944134872,5172.483896488756,12128.167777027395,13779.293659659179,10846.508760899975,98.29771728,182.9417632,143.41494495999999,0.06383235612,0.028553637839999996,0.04941051803999998,55:22.218822,1
17141.28814825097,6998.34135968804,1114.664499755662,9798.94569795225,5004.0709465390955,12234.126423199106,13770.1121810355,11339.905852411188,102.43867087999998,175.52467071999996,142.00028192,0.012102996360000003,0.015223593839999997,0.018389113079999995,55:22.471970,1
17710.439843264525,7163.469824850789,1000.7810779674339,9641.132038580938,4880.018162610092,12335.34867694985,13738.251534849904,11497.982203873322,103.68754928000001,178.56678224000004,140.47965343999994,0.00991647852,0.01444185756,0.005281236479999999,55:22.724421,1
17951.49263717535,7244.937168905997,964.2910115342391,9557.33746142514,4805.20436716003,12389.508872871542,13728.682890394486,11603.021352345067,104.16878863999999,179.66379312000007,139.04008608,0.008586403800000001,0.009220191240000002,0.0031122967199999994,55:22.969071,1
18065.98721745445,7319.8004487941,962.0812884631408,9504.034997771407,4770.83582360496,12405.816807309317,13688.22829348554,11684.476438953345,103.79705503999996,180.15370016,138.62184000000005,0.006823713000000001,0.0076576952400000025,0.0029697189599999997,55:23.220558,1
18108.5835553384,7370.464968463347,974.6454002732495,9457.254049848132,4750.305912598146,12411.655064688697,13666.831898771541,11718.680895200889,104.52343103999998,180.13001664,137.84467872000005,0.004918444439999999,0.00639500316,0.00361717824,55:23.472760,1
18152.889928219494,7412.814772751285,991.303161192067,9407.530883957548,4738.863315890532,12415.552780923666,13625.974633140415,11739.855044346692,103.90350879999998,179.82237504000005,137.33719216,0.00549217344,0.0024365171999999997,0.00680320524,55:23.721290,1
17969.01111417506,7517.663958500572,945.8918543107776,9328.044822568972,4688.717643772193,12455.817943059381,13654.858574913804,11767.637920131096,102.29840095999998,182.32403839999992,138.47741936000006,0.007050763199999999,0.01148532216,0.010811007480000003,55:23.971237,1
17826.22286263417,7529.324393442456,985.7873601205467,9342.654445904676,4720.003356041924,12411.221939606121,13638.394364345564,11697.784946354352,105.18840080000001,180.85944463999994,136.57431423999998,0.004617663960000002,0.013931116680000003,0.0036328032,55:24.223623,1
17957.057227398156,7534.13491634243,1033.8702635198015,9358.61836151879,4733.994200226576,12415.65973127941,13595.144625001712,11631.414914550769,103.69218831999999,182.085372,136.17120608,0.0036118071599999992,0.005529771,0.004510730640000001,55:24.470627,1
17770.67189801865,7550.123994984559,1047.1203401215107,9346.911045958474,4740.841881442991,12393.617808781342,13609.550447684265,11539.96752446253,103.19752015999997,181.69386143999995,137.06104720000002,0.008256326520000001,0.0118090518,0.007829569799999998,55:24.726556,1
17798.250596595753,7544.743625494442,1079.9113347884536,9378.134260142386,4757.480582672102,12393.689302518036,13597.767838090145,11521.281748948108,103.06249967999997,181.83718335999993,136.73289615999997,0.0041772354000000015,0.00391551732,0.006027816599999997,55:24.979981,1
17716.572005571386,7524.931086686853,1108.8487638643164,9401.412370535412,4762.545738026498,12390.630895332002,13614.523385668399,11532.333259607984,103.01720799999998,182.16679936,136.87109072000007,0.0041196183600000005,0.0056493996,0.004232411040000001,55:25.229589,1
