CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
3846.9673999939323,10283.06508382715,10949.478954276194,16257.150322985724,18679.980391164725,7657.224563080866,4776.057252978444,1977.3474438382368,63.69524,170.92726,172.25487999999999,0.013244595000000001,0.01513668,0.0256347,22:33.559618,3
3961.2094696395943,10299.569765575212,10938.697682125556,16292.12270718483,18768.32438365534,7798.869691515172,4738.143826080172,1979.276161371047,63.658615999999995,170.548812,172.57228800000001,0.015832479,0.019970652,0.02368158,22:33.567492,3
3838.7493968934496,10283.673942478757,10939.855253277532,16259.394356948027,18673.98370077464,7656.9797332612015,4783.609805849178,1991.0943518686367,63.64946,170.4542,172.65164,0.01647945,0.021179145,0.0231933,22:33.579581,3
3956.51128211928,10301.154568571077,10924.33621135532,16268.729823925853,18759.48298684012,7792.764225691261,4728.866540782167,1975.7233965801454,63.905828,169.770552,172.053448,0.007348614000000001,0.017175249,0.024804624000000004,22:33.587894,3
3853.2782560423484,10286.1770597945,10946.017884609599,16249.988031037414,18668.59926587608,7649.774750594623,4777.264718088261,1994.3414051349896,63.96991999999999,169.59964,171.9039,0.005065905,0.016174275000000002,0.025207455,22:33.599868,3
3949.0462448489607,10309.99984081365,10942.740825770315,16291.483196645984,18775.1479410023,7805.53369139521,4745.598472844813,1955.4918347996559,64.32395199999999,170.34432799999996,170.963884,0.007263164999999999,0.013000455000000003,0.031262127,22:33.607556,3
3840.429547222177,10280.924248629166,10938.253721459314,16245.47309937432,18662.470776968803,7641.194056529275,4768.234680273739,1977.3852843052275,64.41246,170.5305,170.72888,0.007812479999999999,0.012207,0.032775795,22:33.625356,3
3936.3355127846926,10305.424669794145,10937.846868076935,16294.523779058562,18783.537931671373,7816.8357068494715,4748.253565504414,1954.1724621309208,64.22934000000001,170.933364,169.92315200000002,0.01806636,0.01000974,0.034875399,22:33.627733,3
3855.957519044685,10283.616629187774,10936.032844387659,16244.346600627492,18658.330121665917,7640.66860353706,4772.5924509990045,2006.4083760229191,64.18356,171.03408,169.72172,0.020629830000000002,0.009460425,0.0354003,22:33.639698,3
3942.3081963031045,10302.120871480389,10938.425793732977,16292.417889687145,18775.57875382367,7808.843946653267,4743.281776344159,1968.9619824891106,63.988231999999996,170.60680000000002,169.51418400000003,0.022289981999999996,0.010778781,0.03525381600000001,22:33.647641,3
3835.8607750284546,10278.995414167835,10946.37501884582,16246.191706482528,18658.826598636475,7636.644777740757,4767.870901755286,1969.0182020694003,63.9394,170.49998,169.4623,0.02270502,0.01110837,0.035217195,22:33.659719,3
3951.9770025156554,10296.163040092368,10911.579115518196,16279.02209760949,18761.80866922666,7796.52229427765,4730.4218515812845,1976.0796157886828,64.34226399999999,169.36463599999996,169.755292,0.019921823999999998,0.007690410000000002,0.036047271000000006,22:33.672646,3
