CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
2066.32233451688,9434.485112090953,9380.08649461881,13999.303720725875,14865.814019733607,4658.973903498093,5174.454507637326,625.6469916402748,33.147771999999996,161.48132,185.73251199999999,0.009411597,0.008825661,0.0032470619999999998,42:44.863705,1
2270.355845906156,9499.480379118415,9375.539053635399,14069.277854196078,15130.413450593547,5418.490617623495,5106.056698872129,557.8325324727484,33.28206,160.80988,185.43952,0.005065905,0.013610805,0.00036621,42:44.870033,1
2056.9083170423155,9442.682518021436,9389.635078062935,14006.172681695421,14875.55683555062,4671.481462673874,5193.635130410187,645.3670434649915,33.336996,160.88618,185.39679199999998,0.00598143,0.013098111,0.001074216,42:44.882061,1
2279.658747669047,9515.231896399679,9391.285481114488,14081.734196599238,15138.225371159107,5417.48867249981,5098.3809624022815,568.1735806141689,33.55674,161.19137999999998,185.22588,0.00964353,0.011047335,0.0039062399999999996,42:44.889914,1
2077.693876937302,9439.47890716234,9383.585756585422,13998.613037846551,14863.374196379344,4662.519241977163,5185.14892457483,665.2439765829802,33.52622,161.606452,185.091592,0.013207974,0.009851049,0.00402831,42:44.902081,1
2265.3735393781135,9481.400546154338,9379.489034347773,14108.538471837068,15145.672687118193,5413.313406890782,5083.4047500464,550.9068977982317,33.40414,163.26674,184.55444,0.02746575,0.005065905,0.00451659,42:44.910823,1
2082.088879764959,9436.17139401083,9394.951408451272,14000.968288453241,14866.020351670997,4666.589382887587,5186.920983563071,671.6648266508278,33.336996,163.49564,184.62768799999998,0.030786054,0.004699694999999999,0.004748523,42:44.922115,1
2295.31197237592,9503.223791762366,9384.32657977378,14069.382709822148,15129.68654289369,5409.740595937854,5096.2810886162315,582.2386031427119,33.068419999999996,164.41124,184.92068,0.04406727,0.0032348550000000005,0.005676255,42:44.930109,1
2066.223437408079,9442.253712813166,9383.60289914643,13997.376666858308,14853.183580703426,4674.559332146853,5190.614428757961,658.7704476326778,33.07147199999999,164.237276,184.98172,0.04553211,0.0026367120000000003,0.005395494,42:44.942174,1
2268.755691057332,9490.93517279607,9382.325602427187,14087.047023871783,15137.00675807369,5399.788461830128,5080.74383966108,550.4754853562009,33.08368,163.54142,185.22588,0.05139147000000001,0.00024413999999999998,0.00427245,42:44.950059,1
2064.031668685874,9474.453898090418,9426.69738024173,14029.117171969401,14895.432378601767,4700.903064372489,5203.510435770562,655.6116187402887,33.004328,163.428496,185.323544,0.056970069,0.001257321,0.00659178,42:44.969297,1
2297.062309916478,9469.886185117572,9361.94334993637,14062.579868083872,15129.510878167377,5395.917960714736,5087.917984976997,580.5100237502405,32.68692,162.9768,185.71419999999998,0.079284465,0.005310045,0.0158691,42:44.970099,1
2069.5872838517435,9452.70385671112,9417.746686739842,14027.349513358204,14894.834438955706,4695.938513768942,5185.531673277934,638.339927651992,32.5801,163.111088,185.985828,0.088281024,0.007067853000000001,0.019250439,42:44.982092,1
2273.8682580061914,9522.386910901574,9401.677895395213,14088.402583605723,15142.143641769984,5414.490165404933,5111.736787860696,574.1412348090864,32.15282,163.64824,187.07234,0.12426726000000002,0.014099085,0.032775795,42:44.990147,1
2112.3623355907057,9432.067007404958,9375.128517805173,13995.50772502508,14862.059202996938,4680.684048373539,5188.74529629023,697.6006331456886,32.149768,163.48038,187.45383999999999,0.12405974100000002,0.014294397,0.030139083,42:45.002170,1
2285.315280178578,9513.157879616421,9397.966986987252,14079.888077572414,15122.576507076918,5401.060330108627,5099.430754253464,552.7477134567747,32.13756,162.80893999999998,188.97984,0.12322966500000002,0.015075645000000002,0.019592235,42:45.010164,1
2041.4401407334003,9443.900824518838,9402.801180183014,14023.238646323594,14893.213203978323,4698.531037367371,5195.057696817365,655.4209886415978,32.180288000000004,162.30841199999998,189.092764,0.118859559,0.014392052999999998,0.017761185,42:45.025131,1
2300.3252712627122,9491.072956745706,9372.628556168409,14062.826251383003,15110.614973504533,5381.1771312912715,5102.913656681732,613.6623877767995,32.3512,160.3063,189.54446,0.101379135,0.011657685000000001,0.010436985,42:45.030237,1
2092.4179609388243,9441.171536081507,9395.720682907307,14020.497126570399,14888.638476791431,4702.283261573504,5194.391685430319,661.2584381195327,32.384772,159.769148,189.166012,0.096838131,0.012182586,0.009692358,42:45.045156,1
2250.6171442595705,9508.327514565026,9411.704188620355,14100.679329984816,15152.660810248188,5408.619238524209,5109.933331515671,535.1200403549972,32.519059999999996,157.62054,187.65222,0.078674115,0.01428219,0.00671385,42:45.050249,1
2119.2242353384204,9473.772154798742,9407.230869270692,14016.45363305562,14885.178834137056,4687.410976609795,5161.699226842521,640.8368530467375,32.48243599999999,157.568656,187.441632,0.074877738,0.013696254,0.006579573,42:45.063692,1
2266.2508497315716,9501.38223823874,9416.07319952518,14083.706464915658,15126.508552098001,5396.83415911866,5128.004107662429,615.549070304782,32.33594,157.36112,186.59928,0.05969223,0.01135251,0.006042465,42:45.070362,1
2081.4774965193037,9472.970702203407,9422.746406031805,14039.287996491254,14904.123339158457,4727.743651047776,5218.144524591629,640.4805816964429,32.589256,158.212628,186.761036,0.067126293,0.01074216,0.009265113,42:45.082364,1
2344.5374226756103,9532.623563066732,9418.730189449761,14123.38089902281,15134.739679800183,5386.514562501632,5103.744194835677,634.7986831161924,33.60252,161.61866,187.40805999999998,0.09686254500000001,0.00830076,0.022155705,42:45.090259,1
2091.651725505027,9439.795871027361,9384.259318322991,13993.552385680847,14866.588573818668,4687.429244093849,5182.70146548864,686.7035951341537,33.529272,161.40502,187.78040399999998,0.10108616700000002,0.012243621,0.020080515,42:45.102396,1
2297.704856822548,9497.598391571,9397.988601567828,14110.251642039239,15166.45165298977,5399.400922939346,5069.485338666627,528.5219424140781,33.23628,160.55046,189.26978,0.11798065500000002,0.028015065,0.011779755,42:45.111484,1
2099.0404726996135,9422.705042697391,9348.274118635327,14006.8003700394,14863.942498995675,4685.973131449058,5184.9138199275185,677.7862161594925,33.312580000000004,160.17506399999996,189.46510800000001,0.114367383,0.025146419999999996,0.013757289,42:45.122471,1
2318.5999819979775,9534.300153292472,9420.98630023461,14079.845506541184,15119.79745913599,5382.0335841997685,5109.880439111879,563.6431666262703,33.617779999999996,158.67347999999998,190.24642,0.099914295,0.013671840000000001,0.021667425,42:45.130406,1
