CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp,label
19018.637883036085,14158.709100094957,1531.2561454517597,4099.060458504533,3524.9211942370493,18343.504957959274,20080.46900808025,8555.466192821657,67.412576,168.72982000000002,171.87541466666667,0.0072306129999999995,0.002054845,0.002518711,17:49.784804,5
19019.162980640736,14157.903348333715,1530.1839891671946,4100.425031472483,3523.8707708788174,18343.585881762872,20080.087202874627,8555.4558474176,67.43332960000001,168.7273784,171.8994237333333,0.006999493800000001,0.0019344026,0.002534987,17:49.788599,5
19020.300904486285,14157.907610820295,1530.0414940071776,4100.043359983187,3524.628071633981,18345.393354692555,20080.2849940765,8554.838654226287,67.45408320000001,168.72493679999997,171.92343279999997,0.006768374600000001,0.001813960199999999,0.0025512629999999994,17:49.793239,5
19020.280303461754,14158.308031199904,1530.5938278053065,4099.431924789402,3525.176846042459,18345.603559801566,20080.464895221794,8554.886394072579,67.47300560000001,168.72697146666664,171.94296559999995,0.006518538000000001,0.0017130489999999995,0.0026147393999999997,17:49.796518,5
19019.54767888329,14158.51322631827,1530.6219168392133,4099.166513902351,3525.093691637487,18343.657984984373,20080.54623931518,8555.87712999878,67.49009680000002,168.73348239999996,171.9580221333333,0.006249984,0.001631669,0.0027254161999999997,17:49.800490,5
19019.32162292263,14158.415583193624,1530.802729046809,4098.972233159296,3525.0164032215744,18342.686747438278,20080.704238188413,8556.527803144323,67.50718800000001,168.73999333333327,171.97307866666662,0.00598143,0.001550289,0.002836093,17:49.804616,5
19020.554108984386,14158.070222721193,1530.351076808077,4099.455366260775,3524.5350453791125,18343.594485260877,20080.570681713885,8556.545900527279,67.5267208,168.76725786666665,171.98976293333328,0.005794256000000001,0.0015633098,0.0029321214,17:49.808534,5
19021.77659377459,14157.85672629422,1530.0266422683972,4099.714914944156,3524.338734720481,18344.913983089762,20080.45583697648,8556.252291179424,67.5462536,168.79452239999998,172.00644719999997,0.005607082000000001,0.0015763306000000001,0.0030281498,17:49.812573,5
19021.487936500096,14157.857457727725,1530.1739773824295,4099.400812491541,3524.3547869950503,18344.59687310379,20080.42608722451,8556.621162892077,67.5627344,168.83480880000002,172.01743439999996,0.005587550800000001,0.0016259724000000002,0.0031518473999999994,17:49.816624,5
19020.305353518812,14157.904245696162,1530.3218332184233,4099.339327622613,3523.61097824779,18342.981709293123,20080.89138741665,8557.074448129853,67.5761632,168.8881170666667,172.02272453333327,0.0057356624,0.0017122352,0.0033032142,17:49.823347,5
19020.073038437302,14157.729742854386,1530.0805190004696,4099.892612998825,3522.0423038133713,18342.144104977706,20081.436617929834,8557.569055127937,67.589592,168.94142533333337,172.02801466666665,0.0058837740000000005,0.0017984979999999995,0.0034545810000000004,17:49.824544,5
19020.58835617291,14157.447292450153,1529.970946524879,4100.153430878195,3522.0210044083565,18343.268225966942,20081.751787301353,8557.164061838626,67.61319413333334,168.986188,172.04388506666663,0.006106755199999999,0.0018798779999999995,0.0035685129999999997,17:49.836575,5
19022.282331026177,14157.547962501636,1529.7225634797753,4100.088079661114,3522.918155249337,18345.057521915078,20081.653341876463,8557.42109442436,67.63679626666665,169.03095066666666,172.05975546666664,0.006329736399999999,0.001961258,0.0036824449999999995,17:49.836577,5
19021.194472864223,14157.40230711878,1529.7913214265277,4099.556619044445,3523.794387013902,18345.371151407704,20081.87907031192,8556.858531629527,67.65938106666665,169.0793757333333,172.07114959999996,0.006451806399999999,0.0020165964,0.003771149199999999,17:49.836761,5
19018.79705960142,14157.142334889571,1529.8231730864989,4099.224321862627,3523.7689107417254,18343.784072378705,20082.151621068115,8556.453198213794,67.68094853333331,169.13146319999998,172.07806746666662,0.006472965199999999,0.0020458931999999997,0.0038346255999999997,17:49.843461,5
19018.212503858562,14157.322591735976,1530.0429326354094,4098.996090625048,3524.069490440207,18343.445285359125,20082.211149705807,8556.254867147003,67.70251599999999,169.18355066666663,172.0849853333333,0.006494123999999999,0.00207519,0.0038981019999999996,17:49.844661,5
19020.032128523366,14157.11172733364,1529.6577259456383,4099.545022216993,3523.5418769322823,18344.258296425658,20082.1350153381,8556.31187791653,67.72530426666665,169.21529146666666,172.10370426666663,0.006536441599999999,0.0020491483999999995,0.003942047199999999,17:49.848639,5
19021.722687296988,14157.015382070529,1529.3222966286426,4099.840424577708,3523.331959293959,18345.31898426793,20081.99286268314,8555.852007227535,67.74809253333333,169.24703226666668,172.1224232,0.006578759199999998,0.0020231068,0.003985992399999999,17:49.853866,5
19021.51123388733,14157.451317361609,1529.7529161375908,4099.155402835481,3523.7751404116852,18345.113518344926,20082.099966207643,8556.02371927209,67.7684392,169.2645304,172.14215946666664,0.006673973799999998,0.002010086,0.004065744799999999,17:49.856647,5
